CODE,DOMES,STATION DESCRIPTION,LAT,LONG,HEIGHT
mar-07,10405M003,Martsbo SWEDEN ,60.59505556,17.25844444,74.4
MARS,10073M008,Marseille FRANCE ,43.27877778,5.353805556,61.8
MAS1,31303M002,Maspalomas SPANI SH DE,27.76375,344.3667222,197.1
MAT1,12734M009,Matera ITALY ,40.64905556,16.70455556,532.6
MATE,12734M008,Matera ITALY ,40.64913889,16.70447222,535.7
MATG,12734M010,Matera ITALY ,40.64902778,16.70463889,535.7
MAUA,34701M002,MAUN BOTSWANA ,-19.90225,23.52838889,960.8
MAW1,66004M001,Mawson station A NTART,-67.60477778,62.87072222,59.1
MAYG,90101M001,Dzaoudzi FRANCE ,-12.78205556,45.25813889,-16.5
MCHL,59905M001,Mitchell - Queens land,-26.35888889,148.1449722,534.6
MCM4,66001M003,Mac Murdo ANTART ICA,-77.83836111,166.6693333,98
MDO1,40442M012,FORT DAVIS UNITE D STA,30.6805,255.985,2004.5
MDVJ,12309M005,MENDELEEVO RUSSI A,56.0215,37.2145,257.1
MEDI,12711M003,Medicina ITALY ,44.51997222,11.64683333,50
MELI,19379M001,Melilla SPAIN ,35.28119444,357.0483333,88.9
MEMA,49284M001,Machias UNITED S TATES,44.70986111,292.5417222,18.6
MERS,20814M001,Mersin TURKEY ,36.56638889,34.25586111,38.5
MET3,10503M010,Metsahovi FINLAN D,60.21744444,24.3945,79.2
METG,10503M002,Metsahovi FINLAN D,60.24197222,24.38416667,57.8
METS,10503S011,Metsahovi FINLAN D,60.21747222,24.39533333,94.7
MGBH,41667M001,Belo Horizonte B RAZIL,-19.94188889,316.0751111,974.8
MGUB,41652M001,University of Ube rland,-18.91916667,311.7439444,869.3
MGUE,41558M001,Malargue ARGENTI NA,-35.77736111,290.6020833,1553.7
MIBX,49228M001,Baraga UNITED ST ATES,46.76411111,271.4869722,193.8
MIKL,12335M001,Mykolaiv UKRAINE ,46.97277778,31.97283333,93.9
MIM2,19841M003,Mimizan FRANCE ,44.20063889,358.7716944,72
MIQU,97502M001,Miquelon FRANCE ,47.09733333,303.6158889,14.2
MIZU,21702M002,MIZUSAWA JAPAN ,39.13513889,141.1328611,115.2
MKEA,40477M001,Mauna Kea UNITED STAT,19.80136111,204.5436389,3754.6
MNRT,49231M001,Rothsay UNITED S TATES,46.4905,263.7087222,345.2
MNTF,49266M001,Thief River Falls  UNI,48.11916667,263.7925833,326.2
MOBS,50182M001,Melbourne Observa tory,-37.82941667,144.9753333,38.6
MONE,49275M001,MoDOT Nevada UNI TED S,37.86575,265.6504444,221.3
MONP,40497M004,Monument Peak UN ITED,32.89194444,243.5776389,1842.6
MOWR,49267M001,MoDOT Warrenton UNITE,38.81463889,268.8386111,229.7
MPL2,41544M001,Universidad de Ma r del,-38.00577778,302.4286944,53.6
MQZG,50214M001,Christchurch NEW ZEAL,-43.70272222,172.6546944,154.6
MRC1,49654M002,Stafford UNITED STATE,38.49911111,282.6293611,25.3
MRL1,50254S001,Marlbourough NEW ZEAL,-41.57619444,173.74075,147.2
MRL2,50254S001,Marlbourough NEW ZEAL,-41.57619444,173.74075,147.2
MRO1,59913M001,Murchison Radio O bserv,-26.69663889,116.6375,354.1
MSOL,49204M001,Missoula UNITED STATE,46.92941667,245.8911389,960.1
MSSA,21796M001,Misasa Saku-shi JAPA,36.14036111,138.3523056,1626.4
MTCV,59965M001,Mount Cavenagh - North,-25.94569444,133.2066944,544.9
MTFV,49216M001,Flathead Valley C ommun,48.22747222,245.6731667,905.2
MTJO,50204M001,Mount John NEW Z EALAN,-43.98569444,170.4649444,1043.6
MTKA,21741S002,MITAKA JAPAN ,35.67952778,139.5613889,108.9
MTV1,42323S001,Montevideo - Pale rmo,-34.91358333,303.8236944,40.7
MTV2,42323S001,Montevideo - Pale rmo,-34.91358333,303.8236944,40.7
MTY2,40518M001,Monterrey MEXICO ,25.7155,259.6870833,521.7
MZAN,19841M002,Mimizan FRANCE ,44.19852778,358.7758333,78.1
NANO,40138M001,NANOOSE CANADA ,49.29480556,235.9135278,6.6
NAPL,49528S001,NAPLES FLORIDA UNITE,26.14863889,278.2237222,-19.1
NBTG,92747M001,Numbo FRANCE ,-22.242,166.4161111,66.2
NCBE,49262M001,Beaufort UNITED STATE,34.71902778,283.3280556,-29.2
NCKN,49225M001,Kenansville UNIT ED ST,34.94180556,282.0194444,14.2
NCSH,49211M001,Shelby UNITED ST ATES,35.28158333,278.5088611,263.1
NEIA,41620M002,Cananeia BRAZIL ,-25.02025,312.0750278,6
NICA,10012M002,Nice FRANCE ,43.70327778,7.227277778,256.5
NICE,10012M001,Nice FRANCE ,43.7255,7.299972222,427.3
NICO,14302M001,NICOSIA-ATHALASSA  CYP,35.141,33.39644444,190
NIST,49507M002,Boulder Colorado  UNI,39.99505556,254.7373889,1646.4
NKLG,32809M002,LIBREVILLE GABON ,-0.353916667,9.672138889,31.5
NLIB,40465M001,NORTH LIBERTY UN ITED,41.77158333,268.4251111,207
NNOR,50181M001,New Norcia AUSTR ALIA,-31.04872222,116.1927222,232.9
NOR1,49618S001,CADILLAC UNITED STATE,44.25583333,274.5628333,364.1
NORF,50189M001,Norfolk Island A USTRA,-29.04333333,167.9388333,159
NOT1,12717M004,Noto ITALY ,36.87586111,14.98977778,124.4
NOVM,12367M002,NOVOSIBIRSK SNII M RU,55.0305,82.9095,150.1
NRC1,40114M001,Ottawa - National Rese,45.45416667,284.3761667,82.5
NRMD,92701M005,Noumea NEW CALED ONIA,-22.22833333,166.4848889,160.3
NRMG,92701M005,Noumea NEW CALED ONIA,-22.22833333,166.4848889,160.3
NTUS,22601M001,Nanyang Technolog ical,1.345805556,103.6799444,75.4
NVSK,12319M001,Novossibirsk RUS SIA,54.84061111,83.23544444,123.1
NYA1,10317M003,Ny-Alesund NORWA Y,78.92955556,11.86530556,82.5
NYA2,10317M008,Ny-Alesund NORWA Y,78.93033333,11.85863889,79.7
NYAL,10317M001,Ny-Alesund NORWA Y,78.92958333,11.86508333,76.8
NYBR,49276M001,Brooklyn Pier UN ITED,40.68866667,285.9987222,-20.3
OAK1,13235S002,HERMITAGE UNITED KING,51.11761111,359.0948889,139.6
OAK2,13235S002,HERMITAGE UNITED KING,51.11761111,359.0948611,139.6
OBE4,14208M007,Oberpfaffenhofen GERM,48.08480556,11.27786111,648.6
OHI3,66008M006,O'higgins ANTART ICA,-63.32108333,302.0986111,30.8
OKCB,49587S001,OKEECHOBEE FLORI DA U,27.26602778,279.1446667,-15.3
OLK2,10518M002,Olkiluoto FINLAN D,61.19102778,21.50580556,39.4
ONRJ,41635M001,PRedio da Hora - Obser,-22.89569444,316.7756667,35.7
ONS1,10402M007,Onsala SWEDEN ,57.39533333,11.92452778,44.5
ONSA,10402M004,Onsala SWEDEN ,57.39530556,11.92552778,45.6
OP71,10001S007,Paris FRANCE ,48.83591667,2.334972222,124.6
OPMT,10001S006,Paris FRANCE ,48.83591667,2.334944444,122.6
ORID,15601M001,Ohrid MACEDONIA ,41.12730556,20.79405556,773
OSN3,23904S002,Osan air base SO UTH K,37.08269444,127.0335833,64.5
OSN4,23904S002,Osan air base SO UTH K,37.08269444,127.0335833,64.5
OTZ1,49252M001,Kotzebue WAAS UN ITED,66.88733333,197.3886389,10.4
OUS2,50212M002,Dunedin NEW ZEAL AND,-45.86947222,170.5109167,24.2
OWMG,50253M004,Owenga (Chatham I sland,-44.02430556,183.6311944,19.7
P009,49234M001,Marysvale_UT2006 UNIT,38.47991667,247.7772778,1761.5
P012,M,MonticelloUT2006 ,38.09744444,250.6661667,1788.5
P013,49254M001,SpringCrekNV2007 UNIT,41.42875,242.67,1433.4
P028,49224M001,ChacoCnHP_NM2005 UNIT,36.03169444,252.0915833,1933.1
P036,49212M001,ANGELFIRE_NM2004 UNIT,36.42027778,254.7063333,2529.9
P037,49213M001,FreemontAPCO2004 UNIT,38.42175,254.8953056,1616.9
P043,49226M001,Newcastle_WY2006 UNIT,43.88113889,255.8143056,1490.9
P044,49227M001,AkronArpt_CO2004 UNIT,40.17177778,256.7775278,1411.1
P049,49236M001,Armington_MT2006 UNIT,47.34997222,249.0937778,1186
P051,49243M001,BillingsAPMT2005 UNIT,45.80661111,251.4538611,1081.1
P053,49255M001,WhitewaterMT2007 UNIT,48.72608333,252.2745833,815
P054,49244M001,TEREkalakaMT2006 UNIT,45.84636111,255.5585833,1093.1
P055,49245M001,GlendiveWTMT2006 UNIT,47.11672222,255.3148889,667.7
P059,49374M001,Point Arena UNIT ED ST,38.92833333,236.2738056,-11.3
P094,49282M001,LastChanceCS2006 UNIT,37.20083333,242.2958056,1729.2
P101,21753S001,P-Oshoro - Hokkai do J,43.20952778,140.8583056,38.4
P169,49215M001,FickleHillCN2004 UNIT,40.79113889,236.0323333,689.4
P212,21787S001,P-Naha - Okinawa JAPA,26.21333333,127.6651944,38.7
P224,49405M001,Berkeley - Sibley Volc,37.86388889,237.7809444,407.4
P231,49375M001,Hopkins Marine st ation,36.62166667,238.0945833,-26.3
P367,49666M002,Newport Oregon UNITE,44.58525,235.9384167,22.9
P394,49290M001,BakerCity_OR2007 UNIT,44.83488889,242.2003611,1010.7
P401,49229M001,Quillayut_WA2005 UNIT,47.93719444,235.4429722,36.2
P432,49214M001,PackwoodF_WA2004 UNIT,46.62286111,238.3167778,318.9
P435,49398M001,Port Angeles UNI TED S,48.05955556,236.4967222,287.3
P475,49886M003,POINT LOMA UNITE D STA,32.66638889,242.7560556,-25
P706,49270M001,MatadorRchMT2006 UNIT,45.04347222,247.4759167,1810.7
P777,49251M001,RockyHillAR_2008 UNIT,35.70266667,267.4545278,335.4
P804,49285M001,TheRockDDBGA2012 UNIT,32.96327778,275.77425,216.4
P815,49288M001,quillmast_wa2013 UNIT,47.93719444,235.4428611,36.2
P816,49229M002,Quillayut_WA2005 UNIT,47.93711111,235.4429167,35.8
PADO,12750S001,PADOVA ITALY ,45.41116667,11.89605556,64.7
PADT,19154M001,Padstow UNITED K INGDO,50.54111111,355.0632222,65.5
PALM,66005M002,Palmer station A NTART,-64.77508333,295.9488889,31.1
PAPE,92201M011,Papeete (Tahiti) SOCI,-17.53308333,210.4272778,11.9
PAPH,49385M001,Philadelphia Wate r Dep,40.01316667,284.8236667,26.5
PARC,41716S001,Punta Arenas I C HILE,-53.13694444,289.1201111,22.3
PARK,50108M001,Parkes AUSTRALIA ,-32.99875,148.2646111,395.4
PCLA,49413M001,Pensacola UNITED STAT,30.46902778,272.8105833,2
PDEL,31906M004,Ponta Delgada (Sa o Mig,37.74775,334.33725,108.7
PENC,11206M006,Penc HUNGARY ,47.78961111,19.28152778,291.7
PERT,50133M001,Perth AUSTRALIA ,-31.80194444,115.88525,10.7
PGEN,22013M001,General Santos T HE PH,6.064916667,125.1316667,121
PICL,40155M001,PICKLE LAKE CANA DA,51.47980556,269.8380278,315.2
PIE1,40456M001,Pietown UNITED S TATES,34.3015,251.8810833,2345.8
PIMO,22003M001,Quezon I THE PHI LIPPI,14.63572222,121.0777222,95.5
PIN1,40407M003,PINYON FLATS UNI TED S,33.61216667,243.5418333,1256.2
PMTH,13229M001,Plymouth UNITED KINGD,50.41647222,355.8738333,175.6
POAL,41616M001,Porto Alegre BRA ZIL,-30.07402778,308.8802222,76.7
POHN,51601M001,POHNPEI MICRONES IA,6.959944444,158.2101111,90.7
POL2,12348M001,POLIGAN/BISHKEK KYRGY,42.67977778,74.69427778,1714.2
POLV,12336M001,Poltava UKRAINE ,49.60261111,34.54294444,176.5
POOL,19138M001,Poole UNITED KIN GDOM,50.77586111,358.0894444,68.8
POTS,14106M003,Potsdam GERMANY ,52.37930556,13.06608333,144.4
POVE,41628M001,Porto Velho BRAZ IL,-8.709333333,296.1036667,119.6
PPTG,97108M001,Pointe-a-Pitre F RANCE,16.22436111,298.4683611,-39.6
PRDS,40124M001,CALGARY CANADA ,50.87136111,245.7065,1248
PRE3,30310S002,Pretoria SOUTH A FRICA,-25.7465,28.22405556,1413.8
PRE4,30310S002,Pretoria SOUTH A FRICA,-25.7465,28.22405556,1413.8
PRIE,19867M001,Marseille FRANCE ,43.27675,5.372722222,186.3
PRMI,82002M001,Magueyes Island PUERT,17.97038889,292.9546389,-25.5
PSAL,19513M002,Venezia II ITALY ,45.43072222,12.33652778,55.4
PTAA,49280M001,PORT ANGELES UNI TED S,48.11683333,236.5056389,66.8
PTAG,22006M005,Manila - Taguig THE P,14.53544444,121.0407778,86.6
PTBB,14234M001,BRAUNSCHWEIG GER MANY,52.29619444,10.45975,130.2
PTGG,22006M006,Manila - Taguig THE P,14.53541667,121.04125,82.9
PTKL,50145M004,Port Kembla AUST RALIA,-34.47555556,150.9136944,34.4
PTSV,50178M003,Port Stanvac AUS TRALI,-35.09469444,138.4857222,57.7
PYGR,50240M001,Puysegur Point N EW ZE,-46.16616667,166.6807222,253.3
QAQ1,43007M001,Qaqortoq GREENLA ND,60.71527778,313.9522222,110.5
QUAD,49130M010,Quadra Island CA NADA,50.1325,234.6691667,-7.4
QUAR,50250M001,Quarry NEW ZEALA ND,-43.53166667,169.8158056,58.1
QUI3,42003S004,Quito III ECUADO R,-0.139583333,281.5327222,2927.5
QUI4,42003S004,Quito III ECUADO R,-0.139583333,281.5327222,2927.5
QUIN,40433M004,QUINCY UNITED ST ATES,39.97455556,239.0555556,1105.8
RABT,35001M002,Rabat MOROCCO ,33.99811111,353.1457222,88.1
RAEG,31912M003,Santa Maria PORT UGUES,36.98566667,334.8736389,302.9
RAMO,20703S001,Mitzpe Ramon ISR AEL,30.59761111,34.76313889,886.9
RAUL,50257M001,Raoul Island NEW ZEAL,-29.24466667,182.0710556,92.2
RCA2,49710M001,Santa Barbara UN ITED,34.49997222,240.28,1179.2
RDSD,40805M001,Santo Domingo DO MINIC,18.46138889,290.0886667,-9.2
REDM,49770M001,REDMOND OREGON UNITE,44.25977778,238.8521111,919.8
REDU,13102M001,Redu BELGIUM ,50.0015,5.144888889,369.9
REPL,49108M001,Repulse Bay CANA DA,66.52361111,273.7689444,-11.7
REUN,97401M003,La Reunion REUNI ON,-21.20822222,55.57172222,1558.3
REYK,10202M001,Reykjavik ICELAN D,64.13877778,338.0445,93
RGDG,41507M007,Rio Grande ARGEN TINA,-53.78583333,292.2484722,32.4
RHPT,50187M001,Burnie round hil l poi,-41.06511111,145.9618333,25.9
RIGA,12302M002,Riga LATVIA ,56.94861111,24.05877778,34.7
RIO2,41507M006,Rio Grande ARGEN TINA,-53.78547222,292.2488889,32
RIOP,42006M001,Rio Bamba ECUADO R,-1.650583333,281.3488889,2817.2
ROAG,13402M007,SAN FERNANDO SPA IN,36.46336111,353.7937222,83.2
ROB4,66063M002,CAPE ROBERTS ANT ARTIC,-77.03444444,163.1901111,-41.6
ROBI,59976M001,Robina AUSTRALIA ,-28.07697222,153.38125,65.2
ROTG,19938M001,Roscoff FRANCE ,48.71844444,356.0342778,56.1
ROTH,66007M003,Rothera ANTARTIC A,-67.57138889,291.8742222,39.7
RSBY,59953M001,Roslyn Bay AUSTR ALIA,-23.16097222,150.7900833,58.1
SALU,41640M001,Sao Luis BRAZIL ,-2.593444444,315.7875278,19
SAMO,50603M001,APIA WESTERN SAM OA,-13.84919444,188.2615556,76.8
SAN0,44466M001,SanAndresCOL2007 COLO,12.58044444,278.2842778,10.1
SANO,19174M001,Sandown UNITED K INGDO,50.65033333,358.7870278,91.1
SANT,41705M003,Santiago CHILE ,-33.15027778,289.3314444,721.2
SASK,40167M001,Saskatoon CANADA ,52.19625,253.6016389,578.9
SAVO,41643M001,Salvador INCRA B RAZIL,-12.93925,321.56775,76.3
SBCH,49292M001,Shell Beach UNIT ED ST,29.86811111,270.32675,-16.2
SBOK,30320M001,Springbok SOUTH AFRIC,-29.66933333,17.87922222,1043.1
SBRB,49415M002,San Bruno UNITED STAT,37.68644444,237.5891389,-13.2
SC02,49670M001,Friday Harbor Wa shing,48.54619444,236.9923889,-15
SCH2,40133M002,SCHEFFERVILLE CA NADA,54.83208333,293.1673889,498.5
SCIP,49915M001,SAN CLEMENTE ISLA ND U,32.91441667,241.5120556,452.9
SCOA,10088M002,Ciboure (Saint-Je an-de,43.39525,358.3183333,59.4
SCOR,43006M002,Ittoqqortoormiit GREE,70.48533333,338.0496667,126.7
SCRZ,41801M001,Santa Cruz BOLIV IA,-17.79677778,296.8403333,442.1
SCTB,66071M001,Scott base ANTAR TICA,-77.84897222,166.7580278,-19
SCUB,40701M001,SANTIAGO DE CUBA CUBA,20.01205556,284.2376944,20.9
SDNY,49123M001,Sydney CANADA ,46.16091667,299.8113889,31.5
SEAT,40457M002,Seattle UNITED S TATES,47.65397222,237.6905278,44.2
SEJN,23907M001,Sejong Observator y SO,36.52222222,127.3031944,179.3
SELD,49435M001,Seldovia UNITED STATE,59.44572222,208.2933333,20.4
SETE,19940M001,Sete FRANCE ,43.39763889,3.699111111,53.9
SEYG,39801M004,Mahe Island SEYC HELLE,-4.678722222,55.53063889,-39.6
SFDM,49826M001,Piru UNITED STAT ES OF,34.45980556,241.2455,291.5
SFER,13402M004,SAN FERNANDO SPA IN,36.46436111,353.7943611,84.2
SGOC,23501M003,Colombo SRI LANK A,6.892083333,79.87416667,-78.5
SGPO,49368M001,Southern Great Pl ains,36.60419444,262.5151667,290.2
SHOE,19197M001,Shoeburyness UNI TED K,51.55477778,0.827027778,49
SIHS,49207M001,Sicily Island UN ITED,31.84338889,268.3445556,5.8
SIN1,22601M003,Nanyang Technolog ical,1.342972222,103.6794444,92.4
SIO5,40460M006,LA JOLLA/SCRIPPS UNIT,32.84075,242.7503056,185.5
SKE0,10426M001,Skellefteaa SWED EN,64.87919444,21.04830556,81.5
SKE8,10426M002,Skellefteaa SWED EN,64.87919444,21.04816667,81.5
SLAC,49523S001,STANFORD LINEAR A CCELE,37.41652778,237.79575,63.7
SMAI,49278M001,West Seattle UNI TED S,47.52358333,237.6549444,113.4
SMAR,41621M001,Santa Maria BRAZ IL,-29.71891667,306.2834167,113.1
SMST,21726M001,Simosato JAPAN ,33.57786111,135.9369444,95.6
SMTG,19936M001,Saint-Malo FRANC E,48.64108333,357.9725278,57.7
SOD3,10513M002,Sodankyla / Pitti ovaar,67.42077778,26.38927778,300.9
SOFI,11101M002,Sofia BULGARIA ,42.55611111,23.39475,1117.6
SOLO,51202M001,Solomon Islands SOLOM,-9.434916667,159.9543333,122.9
SOPU,19386M001,Sopuerta SPAIN ,43.27688889,356.8458333,169
SPED,40803M001,San Pedro de Maco ris,18.46102778,290.6944167,-22.1
SPT0,10425M001,Boras SWEDEN ,57.71497222,12.89136111,220
SRMP,43026M001,Sermip Nuunataa GREEN,72.91066667,305.6062778,370.7
SSHO,49279M001,Roosevelt UNITED STAT,47.68230556,237.6848333,74.1
SSIA,41401S001,San Salvador EL SALVA,13.69708333,270.8834167,626.6
STAS,10330M001,Stavanger NORWAY ,59.01772222,5.598638889,104.9
STDE,97415M001,Saint-Denis Le C haudr,-20.89675,55.49522222,49.3
STFU,49430S001,Stanford universi ty U,37.42691667,237.8267222,20.4
STHL,30606M003,Saint-Helena BRI TISH,-15.94252778,354.3326667,453.2
STJ2,40101M004,ST JOHN'S CANADA ,47.59522222,307.3216944,152.6
STJ3,40101M005,ST JOHN'S CANADA ,47.59544444,307.3216944,152.6
STJO,40101M001,ST JOHN'S CANADA ,47.59525,307.32225,152.8
STK2,21731S004,SHINTOTSUKAWA JA PAN,43.52863889,141.8448333,116.7
STMT,97801M001,Galisbay Harbour FRAN,18.08327778,296.9144722,-38.6
STR1,50119M002,Mount Stromlo AU STRAL,-35.31552778,149.0100556,799.9
STR2,50119M001,Mount Stromlo AU STRAL,-35.31616667,149.0101667,802.5
STVI,82101M001,St Thomas US Vi rgin,18.34008333,295.0255556,-21.5
SULP,12366M001,Lviv UKRAINE ,49.83558333,24.0145,370.5
SUP2,49623S001,ASCANABA UNITED STATE,45.74947222,272.9265,153.8
SUTH,30314M002,Sutherland SOUTH AFRI,-32.38019444,20.81047222,1799.8
SUTM,30314M004,Sutherland SOUTH AFRI,-32.38144444,20.81091667,1797.6
SUWN,23903M001,Suwon-Shi SOUTH KOREA,37.27552778,127.05425,80.3
SVTL,12350M001,Svetloe RUSSIA ,60.53286111,29.78088889,76.7
SWAS,19193M001,Swansea UNITED K INGDO,51.56555556,356.01825,90
SYDN,50124M003,Sydney AUSTRALIA ,-33.78086111,151.1503889,83.6
SYOG,66006S002,Syowa ANTARTICA ,-69.00694444,39.58375,50
TABL,49901M001,Wrightwood UNITE D STA,34.38186111,242.3217222,2228
TASH,12327M001,Tashkent UZBEKIS TAN,41.32805556,69.29558333,437.8
TBON,49253M001,Anchorage AK DOT UNIT,61.17972222,210.2148611,93.2
TCMS,23604S002,Hsinchu TAIWAN ,24.79797222,120.9873889,77.3
TDOU,30319M001,Thohoyandou SOUT H AFR,-23.07991667,30.384,630.2
TELA,20704M001,TEL AVIV ISRAEL ,32.068,34.78088889,58.4
TERS,13534M001,Terschelling THE NEDE,53.36275,5.219388889,56.1
TFNO,40191M001,Tofino CANADA ,49.15413889,234.0921667,-3.9
TGBF,14268M003,Borkum GERMANY ,53.55741667,6.747916667,48.8
TGDE,10320M001,Tregde vannstands maler,58.00638889,7.55475,45.9
THEV,59940M001,Thevenard I AUST RALIA,-32.12861111,133.6968333,7.5
THTG,92201M016,Papeete (Tahiti) SOCI,-17.57705556,210.3935556,98
THTI,92201M009,Papeete (Tahiti) SOCI,-17.57705556,210.3935278,98
THU2,43001M002,Thule GREENLAND ,76.53705556,291.1749444,34.4
TIBB,49426M001,#¿NOMBRE?,37.89088889,237.5523889,-21.1
TID1,50103M108,Tidbinbilla AUST RALIA,-35.39919444,148.98,665.3
TIDB,50103M108,Tidbinbilla AUST RALIA,-35.39919444,148.98,665.3
TIT2,14278M002,TITZ-JACKERATH G ERMAN,51.03522222,6.431583333,156.1
TLSE,10003M009,Toulouse FRANCE ,43.56069444,1.480888889,205.3
TLSG,10003M034,Toulouse FRANCE ,43.54972222,1.485055556,206.8
TN23,49248M001,TDOT District 23 UNIT,35.91963889,275.0006667,526.2
TN36,49249M001,TDOT District 36 UNIT,35.25577778,272.6739444,259.4
TNML,23604S001,Hsinchu TAIWAN ,24.79794444,120.9873333,75.9
TONG,50902M001,Nuku Alofa TONGA ,-21.14472222,184.8207778,56.3
TONO,49291M001,TONO_BRGN_NV1999 UNIT,38.09719444,242.8159722,2066
TOPL,41648M001,Palmas BRAZIL ,-10.17105556,311.6693333,256.6
TORP,49912M001,TORRANCE AIRPORT UNIT,33.79780556,241.6693889,-5.2
TOW2,50140M001,Townsville - Cape Ferg,-19.26927778,147.0556944,88.1
TPW2,49421M001,Tongue point - Ar izona,46.20736111,236.2316389,-14.9
TRAK,40480M001,Bommer Canyon UN ITED,33.61794444,242.1965556,115.5
TRDS,10331M001,Trondheim NORWAY ,63.37138889,10.31916667,317.8
TRIE,12718M003,TRIESTE ITALY ,45.70975,13.76352778,323.4
TRNG,50219M001,Tauranga NEW ZEA LAND,-37.72880556,176.2608889,151.2
TRO1,10302M006,Tromso NORWAY ,69.66272222,18.93966667,138.2
TSEA,49448S001,The Surveyors Exc hange,61.18733333,210.1050278,43
TSK2,21730S010,Tsukuba JAPAN ,36.10558333,140.0871111,69.9
TSKB,21730S005,Tsukuba JAPAN ,36.10566667,140.0875,65.4
TSKT,49125M001,Tusket CANADA ,43.86991667,294.0369444,-2.1
TUAP,12382M001,TUAPSE RUSSIA ,44.09963889,39.06558333,81.2
TUBI,20806M001,Gebze TURKEY ,40.78672222,29.45069444,220.3
TUC2,12617M003,Chania GREECE ,35.53319444,24.07055556,160.9
TUKT,40165M001,Tuktoyaktuk - Nor thwes,69.43822222,227.0056389,-1.5
TUVA,51101M001,FUNAFUTI TUVALU ,-8.525277778,179.1965556,36.4
TWTF,23603S002,Taoyuan TAIWAN ,24.95355556,121.1645,201.5
TXFS,49273M001,Fort Stockton UN ITED,30.89391667,257.1334722,877.6
TXGA,49872M001,GALVESTON UNITED STAT,29.32786111,265.2273611,-10.7
TXHO,49241M001,Hondo UNITED STA TES O,29.34386111,260.8655556,248.6
TXKM,49274M001,Kermit UNITED ST ATES,31.84261111,256.8913056,848
TXLU,49573S001,LUBBOCK TEXAS U NITED,33.53541667,258.1571667,956
TXTY,49218M001,Tyler UNITED STA TES O,32.24961111,264.6063889,120.1
UCSF,49371M001,University of Cal iforn,37.76297222,237.5418333,154.6
UFPR,41610M002,Curitiba - Parana  BRA,-25.44836111,310.7690556,925.8
ULAB,24201M001,Ulaanbataar - Zuu nmod,47.86505556,107.0523333,1575.5
ULDI,30318M001,Ulundi SOUTH AFR ICA,-28.29311111,31.42091667,607.9
UNB3,40146M002,Fredericton CANA DA,45.95022222,293.3582778,22.8
UNBJ,40146M002,Fredericton CANA DA,45.95022222,293.3582778,22.8
UNSA,41514M001,Salta ARGENTINA ,-24.72744444,294.5923611,1257.8
URUM,21612M001,Urumqi CHINA ,43.80794444,87.60066667,858.9
USN7,40451S009,Washington UNITE D STA,38.92055556,282.9337222,58.9
USN8,40451S009,Washington UNITE D STA,38.92055556,282.9337222,58.9
USN9,40451S009,Washington UNITE D STA,38.92055556,282.9337222,58.9
USUD,21729S007,USUDA JAPAN ,36.13311111,138.3620556,1506.8
UTQI,49508M002,BARROW - ALASKA UNITE,71.32275,203.3849722,10.3
UYMO,42301M001,Montevideo URUGU AY,-34.88830556,303.7401111,158.2
VACS,39003M001,Vacoas Meteo MAU RITIU,-20.29708333,57.49702778,419.2
VALD,40156M001,VAL D OR CANADA ,48.09705556,282.4358333,312.8
VALE,13439M001,Valencia SPAIN ,39.48083333,359.6623611,77.6
VARS,10322M002,DOMEN NORWAY ,70.33638889,31.03119444,174.9
VEN1,19513M001,Venezia II ITALY ,45.43058333,12.35408333,60.4
VIGO,13450M001,Vigo SPAIN ,42.18397222,351.1869444,87.8
VIKC,10363M001,Vikna NORWAY ,64.86372222,11.24216667,59.2
VILL,13406M001,VILLAFRANCA SPAI N,40.44358333,356.0480278,647.3
VIS0,10423M001,Visby SWEDEN ,57.65386111,18.36730556,79.8
VIS6,10423M002,Visby SWEDEN ,57.65391667,18.36736111,79.5
VLIS,13538M001,Vlissingen THE N EDERL,51.44288889,3.597333333,54.4
VNDP,40420M007,VANDENBERG AFB U NITED,34.55630556,239.3835556,-13.5
VOIM,33303M001,Ambalavao MADAGA SCAR,-21.90630556,46.79327778,1163.4
VRTG,92204M001,Port Vairao SOCI ETE I,-17.80594444,210.7046667,11.7
WAB2,14014M002,Wabern SWITZERLA ND,46.92375,7.46425,611.2
WAIM,50239M001,Waimate NEW ZEAL AND,-44.65569444,170.9203056,1044.8
WARK,50243M001,Warkworth NEW ZE ALAND,-36.43441667,174.6627778,111.3
WARN,14277M002,WARNEMUENDE GERM ANY,54.16977778,12.10141667,50.7
WDC5,40451S010,Washington UNITE D STA,38.92055556,282.9336944,59
WDC6,40451S010,Washington UNITE D STA,38.92055556,282.9336944,59
WES2,40440S020,WESTFORD UNITED STATE,42.61333333,288.5066667,85
WEYB,19178M001,Weybourne UNITED KING,52.94486111,1.130333333,74.1
WGTN,50208M003,Wellington NEW Z EALAN,-41.32344444,174.8058889,26
WGTT,50208S004,Wellington NEW Z EALAN,-41.29044444,174.7815833,43
WHC1,40461M001,WHITTIER UNITED STATE,33.97988889,241.9688333,94.2
WHIT,40136M001,WHITEHORSE GPS SI TE C,60.7505,224.7778889,1425.6
WHNG,50218M001,Whangarei NEW ZE ALAND,-35.80375,174.3145556,172.8
WIDC,49917M001,WIDE CANYON UNIT ED ST,33.93475,243.6082222,445
WIL1,49464M001,Wilkes Barre Leh man,41.30525,283.9846944,384.4
WILL,40134M001,WILLIAMS LAKE CA NADA,52.23686111,237.8321944,1093.8
